Date,Company,Industry,Close,Volume
09-09-2020 00:00,HDFCLIFE,Financial Services,585.7000122070312,3391865
10-09-2020 00:00,HDFCLIFE,Financial Services,601.5999755859375,3792160
11-09-2020 00:00,HDFCLIFE,Financial Services,604.7999877929688,4564379
14-09-2020 00:00,HDFCLIFE,Financial Services,599.4500122070312,2269701
15-09-2020 00:00,HDFCLIFE,Financial Services,594.2000122070312,2371832
16-09-2020 00:00,HDFCLIFE,Financial Services,598.5999755859375,2164876
17-09-2020 00:00,HDFCLIFE,Financial Services,591.8499755859375,1532457
18-09-2020 00:00,HDFCLIFE,Financial Services,585.0999755859375,2587272
21-09-2020 00:00,HDFCLIFE,Financial Services,579.3499755859375,1565889
22-09-2020 00:00,HDFCLIFE,Financial Services,579.4000244140625,2359295
23-09-2020 00:00,HDFCLIFE,Financial Services,580.25,2210606
24-09-2020 00:00,HDFCLIFE,Financial Services,577.6500244140625,3043353
25-09-2020 00:00,HDFCLIFE,Financial Services,577.5,2059527
28-09-2020 00:00,HDFCLIFE,Financial Services,581.2000122070312,1591462
29-09-2020 00:00,HDFCLIFE,Financial Services,570.7999877929688,4157096
30-09-2020 00:00,HDFCLIFE,Financial Services,559.4000244140625,4906751
01-10-2020 00:00,HDFCLIFE,Financial Services,569.2000122070312,1477355
05-10-2020 00:00,HDFCLIFE,Financial Services,574.75,2490303
06-10-2020 00:00,HDFCLIFE,Financial Services,582.0499877929688,5665979
07-10-2020 00:00,HDFCLIFE,Financial Services,578.9500122070312,2588117
08-10-2020 00:00,HDFCLIFE,Financial Services,583.1500244140625,9288093
09-10-2020 00:00,HDFCLIFE,Financial Services,573.7999877929688,4555998
12-10-2020 00:00,HDFCLIFE,Financial Services,563.4000244140625,2349521
13-10-2020 00:00,HDFCLIFE,Financial Services,566.7000122070312,2122487
14-10-2020 00:00,HDFCLIFE,Financial Services,572.3499755859375,3958474
15-10-2020 00:00,HDFCLIFE,Financial Services,561.5,1772762
16-10-2020 00:00,HDFCLIFE,Financial Services,561.1500244140625,2117294
19-10-2020 00:00,HDFCLIFE,Financial Services,570.5,3362350
20-10-2020 00:00,HDFCLIFE,Financial Services,571.0,6496843
21-10-2020 00:00,HDFCLIFE,Financial Services,562.7000122070312,3457773
22-10-2020 00:00,HDFCLIFE,Financial Services,561.0999755859375,2967121
23-10-2020 00:00,HDFCLIFE,Financial Services,564.5,21418349
26-10-2020 00:00,HDFCLIFE,Financial Services,578.6500244140625,8486218
27-10-2020 00:00,HDFCLIFE,Financial Services,587.2999877929688,5959783
28-10-2020 00:00,HDFCLIFE,Financial Services,586.1500244140625,4062087
29-10-2020 00:00,HDFCLIFE,Financial Services,586.0999755859375,1671983
30-10-2020 00:00,HDFCLIFE,Financial Services,589.75,3789450
02-11-2020 00:00,HDFCLIFE,Financial Services,587.5,2206055
03-11-2020 00:00,HDFCLIFE,Financial Services,599.0499877929688,3646651
04-11-2020 00:00,HDFCLIFE,Financial Services,594.25,1919838
05-11-2020 00:00,HDFCLIFE,Financial Services,592.0499877929688,2350192
06-11-2020 00:00,HDFCLIFE,Financial Services,590.5999755859375,1990463
09-11-2020 00:00,HDFCLIFE,Financial Services,592.8499755859375,2978907
10-11-2020 00:00,HDFCLIFE,Financial Services,609.6500244140625,4801645
11-11-2020 00:00,HDFCLIFE,Financial Services,623.4500122070312,6526986
12-11-2020 00:00,HDFCLIFE,Financial Services,630.4000244140625,3555249
13-11-2020 00:00,HDFCLIFE,Financial Services,627.5,5036293
14-11-2020 00:00,HDFCLIFE,Financial Services,636.0999755859375,1080124
17-11-2020 00:00,HDFCLIFE,Financial Services,670.0499877929688,9740753
18-11-2020 00:00,HDFCLIFE,Financial Services,664.7999877929688,3642631
19-11-2020 00:00,HDFCLIFE,Financial Services,646.0499877929688,4212122
20-11-2020 00:00,HDFCLIFE,Financial Services,663.9000244140625,3045488
23-11-2020 00:00,HDFCLIFE,Financial Services,661.2999877929688,3011294
24-11-2020 00:00,HDFCLIFE,Financial Services,664.1500244140625,2108847
25-11-2020 00:00,HDFCLIFE,Financial Services,665.0999755859375,6798974
26-11-2020 00:00,HDFCLIFE,Financial Services,660.7999877929688,3804983
27-11-2020 00:00,HDFCLIFE,Financial Services,646.7999877929688,9917761
01-12-2020 00:00,HDFCLIFE,Financial Services,641.9000244140625,4569057
02-12-2020 00:00,HDFCLIFE,Financial Services,636.5,6126982
03-12-2020 00:00,HDFCLIFE,Financial Services,647.9500122070312,26754679
04-12-2020 00:00,HDFCLIFE,Financial Services,643.25,4452423
07-12-2020 00:00,HDFCLIFE,Financial Services,649.5499877929688,4644396
08-12-2020 00:00,HDFCLIFE,Financial Services,651.5,4409047
09-12-2020 00:00,HDFCLIFE,Financial Services,652.5999755859375,4512763
10-12-2020 00:00,HDFCLIFE,Financial Services,659.4500122070312,5582666
11-12-2020 00:00,HDFCLIFE,Financial Services,664.5,6275768
14-12-2020 00:00,HDFCLIFE,Financial Services,655.75,2696137
15-12-2020 00:00,HDFCLIFE,Financial Services,651.4500122070312,4819043
16-12-2020 00:00,HDFCLIFE,Financial Services,648.7000122070312,2540833
17-12-2020 00:00,HDFCLIFE,Financial Services,654.5499877929688,4660373
18-12-2020 00:00,HDFCLIFE,Financial Services,654.0999755859375,2540821
21-12-2020 00:00,HDFCLIFE,Financial Services,629.2000122070312,3004002
22-12-2020 00:00,HDFCLIFE,Financial Services,641.25,3085304
23-12-2020 00:00,HDFCLIFE,Financial Services,648.5999755859375,2940595
24-12-2020 00:00,HDFCLIFE,Financial Services,657.25,3776278
28-12-2020 00:00,HDFCLIFE,Financial Services,678.7000122070312,5624012
29-12-2020 00:00,HDFCLIFE,Financial Services,673.2000122070312,4102480
30-12-2020 00:00,HDFCLIFE,Financial Services,675.7000122070312,2886107
